wv,intens
4995.388519,26600.47656
4995.399336,26430.33789
4995.410153,26726.83984
4995.420969,26615.76953
4995.431784,26627.4043
4995.442599,27030.0332
4995.453413,26688.81055
4995.464226,27171.16602
4995.475039,26865.73242
4995.485852,27390.67773
4995.496663,27081.05859
4995.507475,27418.23047
4995.518285,27078.13672
4995.529095,27095.38281
4995.539904,27257.24023
4995.550713,27134.29297
4995.561521,27534.17188
4995.572329,27606.32031
4995.583136,27693.04492
4995.593942,27951.86328
4995.604748,27754.53516
4995.615553,27387.69922
4995.626358,27804.87891
4995.637162,27665.625
4995.647965,27653.32031
4995.658768,27880.66992
4995.66957,27702.65625
4995.680372,27663.96094
4995.691173,27828.51563
4995.701973,27901.99414
4995.712773,27478.58594
4995.723572,27407.57617
4995.734371,27417.74414
4995.745169,27765.98242
4995.755966,27534.49414
4995.766763,27324.23828
4995.777559,27387.69531
4995.788355,27272.66406
4995.79915,27206.22266
4995.809944,27155.23633
4995.820738,26994.73633
4995.831531,26725.30078
4995.842324,26716.49023
4995.853116,26642.4043
4995.863908,26472.91406
4995.874698,26253.74023
4995.885489,26585.1543
4995.896278,26711.06445
4995.907067,26722.80469
4995.917856,26723.15039
4995.928644,27228.52344
4995.939431,27056.5918
4995.950218,27294.08594
4995.961004,27565.02148
4995.971789,28147.06445
4995.982574,28186.01172
4995.993358,28267.16211
4996.004142,28467.00977
4996.014925,28694.6875
4996.025708,28110.5293
4996.036489,29111.4707
4996.047271,28537.0332
4996.058051,28916.30078
4996.068832,28879.36914
4996.079611,28602.37891
4996.09039,28729.63867
4996.101168,28650.01758
4996.111946,28748.56445
4996.122723,28817.29688
4996.1335,28574.72656
4996.144276,28455.05273
4996.155051,28547.41406
4996.165826,28173.87695
4996.1766,27987.99609
4996.187373,27542.10938
4996.198146,26934.29883
4996.208919,26193.58203
4996.21969,24929.00977
4996.230462,24487.5918
4996.241232,24282.93359
4996.252002,24284.94141
4996.262771,24254.27539
4996.27354,24688.61719
4996.284308,25944.88086
4996.295076,26463.54297
4996.305843,26971.11523
4996.316609,27689.68555
4996.327375,28383.42188
4996.33814,28833.52539
4996.348905,28959.33398
4996.359669,29234.50391
4996.370432,29203.99414
4996.381195,29317.86523
4996.391957,29155.33008
4996.402719,29024.49414
4996.41348,28226.41211
4996.424241,28102.86523
4996.435,26812.86523
4996.44576,26181.44141
4996.456518,24889.18359
4996.467276,23935.11719
4996.478034,23071.59375
4996.488791,22573.86133
4996.499547,22855.43945
4996.510303,23480.89258
4996.521058,24103.48828
4996.531812,25255.84766
4996.542566,26149.39844
4996.553319,27229.93164
4996.564072,27811.74609
4996.574824,29053.4043
4996.585576,29273.35547
4996.596327,29354.12695
4996.607077,30200.92578
4996.617827,30129.57813
4996.628576,30306.59766
4996.639324,30150.83789
